Cross Validation. kernel: RBF, c: 1, gamma: 0.01, k-fold: 2, accuracy = 0.553396, time: 1.430938361s
Cross Validation. kernel: RBF, c: 1, gamma: 0.01, k-fold: 5, accuracy = 0.590755, time: 7.167724558s
Cross Validation. kernel: RBF, c: 1, gamma: 0.01, k-fold: 10, accuracy = 0.599811, time: 15.926985969s
Cross Validation. kernel: RBF, c: 1, gamma: 0.5, k-fold: 2, accuracy = 0.903019, time: 434.081304ms
Cross Validation. kernel: RBF, c: 1, gamma: 0.5, k-fold: 5, accuracy = 0.9039619999999999, time: 2.169836952s
Cross Validation. kernel: RBF, c: 1, gamma: 0.5, k-fold: 10, accuracy = 0.903019, time: 4.5711065s
Cross Validation. kernel: RBF, c: 1, gamma: 1, k-fold: 2, accuracy = 0.905849, time: 395.218354ms
Cross Validation. kernel: RBF, c: 1, gamma: 1, k-fold: 5, accuracy = 0.9062260000000001, time: 1.768317967s
Cross Validation. kernel: RBF, c: 1, gamma: 1, k-fold: 10, accuracy = 0.9060380000000001, time: 3.602531156s
Cross Validation. kernel: polinomial, c: 1, degree: 3, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 758.72109ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 2, k-fold: 2, accuracy = 0.896604, time: 667.002199ms
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 2, k-fold: 5, accuracy = 0.897547, time: 4.523708213s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 0.5, coefficient: 2, k-fold: 10, accuracy = 0.8962260000000001, time: 11.086986552s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 0, k-fold: 2, accuracy = 0.632453, time: 2.607276696s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 0, k-fold: 5, accuracy = 0.633585, time: 18.327180691s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 0, k-fold: 10, accuracy = 0.63283, time: 48.660584473s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 1, k-fold: 2, accuracy = 0.8969809999999999, time: 1.256820582s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 1, k-fold: 5, accuracy = 0.8979250000000001, time: 8.227374453s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.896415, time: 21.029052409s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 2, k-fold: 2, accuracy = 0.8967919999999999, time: 2.0516246s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 2, k-fold: 5, accuracy = 0.897736, time: 13.962986607s
Cross Validation. kernel: polinomial, c: 1, degree: 4, gamma: 1, coefficient: 2, k-fold: 10, accuracy = 0.8967919999999999, time: 34.018634771s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 712.825547ms
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 0, k-fold: 5, accuracy = 0.551698, time: 3.088211832s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 0, k-fold: 10, accuracy = 0.551698, time: 8.703329556s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 1, k-fold: 2, accuracy = 0.626981, time: 762.17268ms
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 1, k-fold: 5, accuracy = 0.6322639999999999, time: 4.074010236s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 1, k-fold: 10, accuracy = 0.634717, time: 10.079761268s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 2, k-fold: 2, accuracy = 0.66717, time: 749.92372ms
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 2, k-fold: 5, accuracy = 0.68, time: 4.031094097s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.01, coefficient: 2, k-fold: 10, accuracy = 0.682264, time: 10.506210088s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 0, k-fold: 2, accuracy = 0.583962, time: 1.831850671s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 0, k-fold: 5, accuracy = 0.579057, time: 10.831709843s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 0, k-fold: 10, accuracy = 0.5786789999999999, time: 26.640091348s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 1, k-fold: 2, accuracy = 0.9039619999999999, time: 431.922498ms
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 1, k-fold: 5, accuracy = 0.905472, time: 2.331638865s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 1, k-fold: 10, accuracy = 0.903774, time: 5.481793548s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 2, k-fold: 2, accuracy = 0.904717, time: 869.711497ms
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 2, k-fold: 5, accuracy = 0.9052830000000001, time: 4.445795684s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 0.5, coefficient: 2, k-fold: 10, accuracy = 0.903774, time: 10.643613638s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 0, k-fold: 2, accuracy = 0.583962, time: 23.317964359s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 0, k-fold: 5, accuracy = 0.579057, time: 2m12.676210516s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 0, k-fold: 10, accuracy = 0.5786789999999999, time: 5m32.642646487s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 1, k-fold: 2, accuracy = 0.903774, time: 1.84277734s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 1, k-fold: 5, accuracy = 0.9052830000000001, time: 9.657939818s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.903019, time: 23.75624198s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 2, k-fold: 2, accuracy = 0.9033960000000001, time: 3.412367509s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 2, k-fold: 5, accuracy = 0.904717, time: 16.736018183s
Cross Validation. kernel: polinomial, c: 1, degree: 5, gamma: 1, coefficient: 2, k-fold: 10, accuracy = 0.90283, time: 45.617457548s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 878.789408ms
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 0, k-fold: 5, accuracy = 0.551698, time: 4.095518076s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 0, k-fold: 10, accuracy = 0.551698, time: 11.293132748s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 1, k-fold: 2, accuracy = 0.63283, time: 969.676002ms
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 1, k-fold: 5, accuracy = 0.643208, time: 5.458899637s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 1, k-fold: 10, accuracy = 0.645472, time: 13.159183349s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 2, k-fold: 2, accuracy = 0.6809430000000001, time: 1.084989927s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 2, k-fold: 5, accuracy = 0.675094, time: 6.769108802s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.01, coefficient: 2, k-fold: 10, accuracy = 0.675094, time: 18.782396695s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 0, k-fold: 2, accuracy = 0.63283, time: 2.118706331s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 0, k-fold: 5, accuracy = 0.63566, time: 18.434865597s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 0, k-fold: 10, accuracy = 0.63566, time: 48.58194904s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 1, k-fold: 2, accuracy = 0.90283, time: 654.040492ms
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 1, k-fold: 5, accuracy = 0.9039619999999999, time: 3.374673145s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 1, k-fold: 10, accuracy = 0.904717, time: 11.380371375s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 2, k-fold: 2, accuracy = 0.9052830000000001, time: 2.809490778s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 2, k-fold: 5, accuracy = 0.904906, time: 11.888326772s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 0.5, coefficient: 2, k-fold: 10, accuracy = 0.904528, time: 28.649318341s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 0, k-fold: 2, accuracy = 0.63283, time: 49.418097785s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 0, k-fold: 5, accuracy = 0.635849, time: 4m5.81481987s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 0, k-fold: 10, accuracy = 0.6354719999999999, time: 11m43.824054324s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 1, k-fold: 2, accuracy = 0.902453, time: 12.664459382s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 1, k-fold: 5, accuracy = 0.9039619999999999, time: 35.231650783s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.90566, time: 1m20.240975771s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 2, k-fold: 2, accuracy = 0.903208, time: 22.752020288s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 2, k-fold: 5, accuracy = 0.9039619999999999, time: 1m20.603089914s
Cross Validation. kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 2, k-fold: 10, accuracy = 0.904906, time: 2m55.798219024s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 736.468245ms
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 0, k-fold: 5, accuracy = 0.551698, time: 3.283290478s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 0, k-fold: 10, accuracy = 0.551698, time: 9.905815647s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 1, k-fold: 2, accuracy = 0.6413209999999999, time: 786.63254ms
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 1, k-fold: 5, accuracy = 0.65, time: 4.540911636s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 1, k-fold: 10, accuracy = 0.652453, time: 11.114270513s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 2, k-fold: 2, accuracy = 0.693019, time: 1.103424471s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 2, k-fold: 5, accuracy = 0.707547, time: 6.590698903s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.01, coefficient: 2, k-fold: 10, accuracy = 0.711321, time: 16.981398093s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 0, k-fold: 2, accuracy = 0.578491, time: 9.555055207s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 0, k-fold: 5, accuracy = 0.576792, time: 1m2.010282191s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 0, k-fold: 10, accuracy = 0.577736, time: 2m53.814737251s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 1, k-fold: 2, accuracy = 0.9007550000000001, time: 1.444618036s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 1, k-fold: 5, accuracy = 0.903019, time: 6.717113381s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 1, k-fold: 10, accuracy = 0.9043399999999999, time: 17.696697182s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 2, k-fold: 2, accuracy = 0.900943, time: 5.426981319s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 2, k-fold: 5, accuracy = 0.9035850000000001, time: 31.752245652s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 0.5, coefficient: 2, k-fold: 10, accuracy = 0.904528, time: 1m32.336808167s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 0, k-fold: 2, accuracy = 0.567736, time: 8m4.314671128s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 0, k-fold: 5, accuracy = 0.576792, time: 32m27.714375603s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 0, k-fold: 10, accuracy = 0.597736, time: 1h0m25.587303129s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 1, k-fold: 2, accuracy = 0.9, time: 27.405044224s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 1, k-fold: 5, accuracy = 0.900377, time: 2m25.008426883s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.9035850000000001, time: 5m43.771382242s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 2, k-fold: 2, accuracy = 0.898491, time: 51.325461859s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 2, k-fold: 5, accuracy = 0.8960380000000001, time: 4m4.24027566s
Cross Validation. kernel: polinomial, c: 1, degree: 7, gamma: 1, coefficient: 2, k-fold: 10, accuracy = 0.894528, time: 7m48.814211916s
Cross Validation. kernel: linear, c: 1, k-fold: 2, accuracy = 0.551698, time: 827.540253ms
Cross Validation. kernel: linear, c: 1, k-fold: 5, accuracy = 0.551698, time: 3.913217822s
Cross Validation. kernel: linear, c: 1, k-fold: 10, accuracy = 0.551698, time: 7.522743515s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698, time: 1.436805295s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 0, k-fold: 5, accuracy = 0.551698, time: 7.073858274s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 0, k-fold: 10, accuracy = 0.551698, time: 17.756189135s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 1, k-fold: 2, accuracy = 0.551698, time: 1.536636987s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 1, k-fold: 5, accuracy = 0.551698, time: 7.48637001s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 1, k-fold: 10, accuracy = 0.551698, time: 16.633403199s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 2, k-fold: 2, accuracy = 0.551698, time: 1.684571165s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 2, k-fold: 5, accuracy = 0.551698, time: 9.304841758s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 2, k-fold: 10, accuracy = 0.551698, time: 19.910115081s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 0, k-fold: 2, accuracy = 0.291321, time: 1.341592964s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 0, k-fold: 5, accuracy = 0.289434, time: 5.642674926s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 0, k-fold: 10, accuracy = 0.29, time: 14.594943992s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 1, k-fold: 2, accuracy = 0.349623, time: 1.308910936s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 1, k-fold: 5, accuracy = 0.34452800000000006, time: 6.346097799s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 1, k-fold: 10, accuracy = 0.342075, time: 16.252093829s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 2, k-fold: 2, accuracy = 0.483396, time: 1.052401981s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 2, k-fold: 5, accuracy = 0.483396, time: 6.086691045s
Cross Validation. kernel: sigmoid, c: 1, gamma: 0.5, coefficient: 2, k-fold: 10, accuracy = 0.48509399999999997, time: 14.552230632s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 0, k-fold: 2, accuracy = 0.283396, time: 1.235145152s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 0, k-fold: 5, accuracy = 0.281509, time: 6.505862527s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 0, k-fold: 10, accuracy = 0.281887, time: 15.269364998s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 1, k-fold: 2, accuracy = 0.319057, time: 1.478535697s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 1, k-fold: 5, accuracy = 0.318491, time: 6.907356534s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.31830200000000003, time: 17.260469084s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 2, k-fold: 2, accuracy = 0.35962299999999997, time: 1.537747762s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 2, k-fold: 5, accuracy = 0.363585, time: 7.564242736s
Cross Validation. kernel: sigmoid, c: 1, gamma: 1, coefficient: 2, k-fold: 10, accuracy = 0.359434, time: 17.70147401s
best linear
>>> kernel: linear, c: 1, k-fold: 2, accuracy = 0.551698
best polinomial
>>> kernel: polinomial, c: 1, degree: 6, gamma: 1, coefficient: 1, k-fold: 10, accuracy = 0.90566
best RBF
>>> kernel: RBF, c: 1, gamma: 1, k-fold: 5, accuracy = 0.9062260000000001
best sigmoid
>>> kernel: sigmoid, c: 1, gamma: 0.01, coefficient: 0, k-fold: 2, accuracy = 0.551698

transformation order: 2, averageCrossValidationError: 0.2401129943502825
transformation order: 3, averageCrossValidationError: 0.17664783427495293
transformation order: 4, averageCrossValidationError: 0.08644067796610169
transformation order: 5, averageCrossValidationError: 0.08323917137476458
transformation order: 6, averageCrossValidationError: 0.08286252354048963
transformation order: 7, averageCrossValidationError: 0.08549905838041431
transformation order: 8, averageCrossValidationError: 0.08644067796610169
transformation order: 9, averageCrossValidationError: 0.08775894538606405
transformation order: 10, averageCrossValidationError: 0.09171374764595103
Best perceptron. transformation of order=6, accuracy=0.9171374764595104, in sample Error=0.1009433962264151
